Candidate_ID,Education_Level,Experience_Years,Skills_Score,Certifications,Previous_Companies,Job_Match_Score,Suitability
1,Master's,23,0.81,2,13,0.99,1
2,PhD,36,0.89,5,2,0.83,1
3,Bachelor's,39,0.56,6,5,0.77,1
4,PhD,29,0.74,7,8,0.65,0
5,PhD,18,0.95,10,3,0.82,0
6,PhD,7,0.93,9,15,0.78,1
7,Bachelor's,19,0.71,3,0,0.74,0
8,PhD,36,0.63,9,1,0.77,1
9,Master's,11,0.87,1,11,0.73,1
10,Master's,29,0.71,8,4,0.74,1
11,Master's,21,0.95,0,4,0.92,0
12,Bachelor's,27,0.88,6,13,0.62,1
13,Bachelor's,26,0.84,0,8,0.64,1
14,Master's,3,0.64,9,5,0.81,0
15,Master's,6,0.86,0,10,0.87,0
16,PhD,15,0.98,1,6,0.89,1
17,Master's,2,0.63,1,0,0.85,1
18,Master's,33,0.81,1,13,0.88,0
19,Master's,26,0.86,2,13,0.72,0
20,PhD,17,0.83,5,1,0.73,1
21,Master's,35,0.97,2,2,0.97,0
22,Bachelor's,30,0.52,1,8,0.8,1
23,PhD,38,0.98,4,6,0.78,1
24,Master's,12,0.65,0,14,0.82,1
25,Master's,5,0.5,5,5,0.67,0
26,PhD,12,0.71,2,4,0.8,0
27,Bachelor's,21,0.78,2,0,0.88,0
28,PhD,8,0.71,4,10,0.8,0
29,PhD,19,0.75,7,7,0.74,1
30,Master's,4,0.99,1,2,0.6,0
31,Master's,39,0.63,8,3,0.76,0
32,Master's,21,0.85,4,4,0.76,1
33,PhD,2,0.98,2,14,0.97,0
34,Bachelor's,17,0.52,3,6,0.96,1
35,Bachelor's,3,0.56,8,6,0.93,0
36,Bachelor's,26,0.94,4,4,0.68,0
37,PhD,28,0.62,4,14,0.77,0
38,PhD,40,0.5,6,14,0.85,0
39,Bachelor's,13,0.59,10,1,0.81,0
40,PhD,0,0.59,6,1,0.97,1
41,PhD,6,0.55,0,7,0.7,1
42,Master's,11,0.71,6,14,0.9,0
43,PhD,2,0.55,5,5,0.72,1
44,Bachelor's,26,0.55,1,4,0.9,0
45,Bachelor's,40,0.67,7,3,0.63,0
46,Master's,18,0.67,8,9,0.92,1
47,Master's,1,0.55,1,0,0.72,1
48,PhD,18,0.8,0,2,0.96,1
49,Master's,33,0.92,0,2,0.73,1
50,PhD,40,0.93,4,12,0.71,1
51,Bachelor's,7,0.54,3,10,0.65,0
52,PhD,8,0.52,3,14,0.64,0
53,Master's,21,0.55,10,14,0.71,0
54,PhD,4,0.86,5,14,0.86,0
55,PhD,7,0.7,0,9,0.84,1
56,Master's,22,0.75,7,9,0.93,1
57,Bachelor's,22,0.51,7,6,0.68,1
58,Master's,40,0.69,9,8,0.65,0
59,Bachelor's,8,0.92,6,5,0.87,0
60,PhD,30,0.53,6,14,0.77,0
61,Bachelor's,38,0.54,9,6,0.65,0
62,Master's,25,0.56,6,0,0.93,1
63,PhD,4,0.53,4,10,0.9,1
64,Master's,8,0.74,3,4,0.92,0
65,PhD,12,0.76,6,5,0.88,1
66,PhD,38,0.57,6,6,0.89,1
67,Bachelor's,16,0.88,6,10,0.62,1
68,PhD,2,0.87,1,5,0.7,1
69,Master's,22,0.82,1,14,0.63,1
70,Bachelor's,7,0.8,2,11,0.8,0
71,Bachelor's,31,0.74,10,5,0.79,0
72,Master's,7,0.69,3,6,0.87,1
73,PhD,18,0.54,1,2,0.81,1
74,Master's,20,0.64,8,15,0.96,1
75,PhD,20,0.94,10,8,0.87,1
76,Master's,21,0.88,10,0,0.78,0
77,PhD,4,0.55,4,12,0.89,0
78,Master's,39,0.88,6,6,0.91,0
79,Master's,1,0.66,8,13,0.96,1
80,PhD,24,0.54,0,3,0.96,0
81,Bachelor's,15,0.83,7,15,0.96,0
82,PhD,8,0.78,3,3,0.94,1
83,Bachelor's,15,0.65,9,12,0.87,1
84,Master's,40,0.72,6,0,0.96,0
85,Bachelor's,36,0.53,9,12,0.83,1
86,Bachelor's,28,0.57,6,9,0.82,1
87,Master's,10,0.83,7,6,0.82,0
88,Bachelor's,25,0.92,7,14,0.78,1
89,Master's,10,0.87,1,2,0.79,0
90,Master's,33,0.5,2,7,0.62,1
91,Master's,35,0.63,7,3,1.0,1
92,Bachelor's,34,0.78,0,8,0.86,1
93,Master's,3,0.86,1,9,0.77,1
94,Bachelor's,20,0.9,10,13,0.97,1
95,Master's,10,0.6,6,7,0.78,1
96,Bachelor's,6,0.63,0,4,1.0,0
97,PhD,26,0.54,1,11,0.87,0
98,Master's,27,0.99,0,0,0.8,1
99,PhD,37,0.79,2,4,0.92,1
100,PhD,23,0.68,10,15,0.83,0
101,Master's,13,0.6,8,0,0.83,1
102,PhD,26,0.61,5,15,0.74,0
103,Master's,32,0.8,5,4,0.61,0
104,Bachelor's,5,0.64,0,3,0.82,0
105,PhD,17,0.84,10,3,0.8,1
106,PhD,30,0.88,5,13,0.7,1
107,PhD,37,0.59,10,14,0.97,1
108,PhD,19,0.77,3,3,0.82,0
109,Master's,6,0.53,4,15,0.91,1
110,Bachelor's,37,0.78,8,8,0.65,0
111,Bachelor's,5,0.67,1,0,0.62,0
112,Bachelor's,7,0.55,3,4,0.99,1
113,Bachelor's,2,0.57,4,6,0.96,0
114,Bachelor's,15,0.53,1,8,0.72,1
115,Master's,4,0.61,7,3,0.82,1
116,Bachelor's,33,0.66,2,9,0.64,0
117,Bachelor's,25,0.75,4,2,0.9,1
118,PhD,34,0.86,7,0,0.97,1
119,Bachelor's,27,0.83,4,10,0.69,1
120,PhD,28,0.75,1,14,0.74,0
121,Bachelor's,2,0.88,9,5,0.76,0
122,PhD,15,0.53,10,1,0.72,0
123,Bachelor's,18,0.93,8,9,0.6,0
124,PhD,39,0.54,0,9,0.65,1
125,Bachelor's,25,0.8,4,10,0.79,1
126,Bachelor's,7,0.78,4,7,0.67,1
127,PhD,11,0.54,6,9,0.72,1
128,Bachelor's,10,0.92,5,9,0.67,1
129,Bachelor's,2,0.77,7,6,0.98,1
130,Master's,33,0.92,8,0,0.98,1
